:(),Brian,18,2,Student,1,2,Boulder,1
:(),Michel,23,2,Student,1,2,Westminster,2
:(),Brian,29,2,Engineer,1,2,Westminster,3
:(),Brian,33,2,Business,1,2,Denver,4
;(,Johnny,24,2,Student,1,3,Denver,2
;(,Johnny,20,2,Student,1,3,Denver,1
;(,Johnny,27,2,Musician,1,3,Westminster,3
;(,Johnny,33,2,Professor,1,3,Denver,4
:D,Daniel,20,2,Student,1,4,Boulder,1
:D,Daniel,22,2,Student,1,4,Westminster,2
:D,Daniel,26,2,Grad Student,1,4,Denver,3
:D,Daniel,31,2,Scientist,1,4,Boulder,4
:P,Andy,19,2,Student,1,5,Denver,1
:P,Andy,23,2,Student,1,5,Westminster,2
:P,Andy,26,2,Grad Student,1,5,Denver,3
:P,Andy,33,2,Programmer,1,5,Westminster,4
:3,Peter,19,2,Student,1,6,Boulder,1
:3,Peter,23,2,Grad Student,1,6,Boulder,2
:3,Peter,27,2,Programmer,1,6,Denver,3
:3,Peter,35,2,Programmer,1,6,Boulder,4
:*,Hiba,21,1,Student,1,7,Boulder,1
:*,Monica,21,1,Student,1,7,Boulder,1
:*,Monica,23,1,Student,1,7,Boulder,2
:*,Monica,26,1,Grad Student,1,7,Boulder,1
:*,Monica,35,1,Chef,1,7,Boulder,1
;<,Sally,20,1,Student,2,3,Denver,1
;<,Jenna,24,1,Student,2,3,Boulder,2
;<,Jenna,26,1,Grad Student,2,3,Denver,3
;<,Jenna,31,1,Professor,2,3,Boulder,4
:),Ping,22,1,Student,2,4,Boulder,2
:#,Rachel,35,1,Business,2,5,Denver,4
ㅇㅅㅇ,Peter,28,2,Lawyer,2,6,Westminster,3
^.^,Victoria,30,1,Engineer,2,7,Westminster,3
T.T,Alex,32,2,Designer,3,4,Denver,4
U^U,Mike,29,2,Scientist,3,5,Boulder,3
^v^,Kate,22,1,Student,3,7,Denver,1
o.o,Joseph,26,2,Grad Student,3,6,Westminster,3
$v$,Ryan,20,2,Student,4,5,Denver,1
@_@,Sarah,19,1,Student,4,6,Boulder,1
홋,Jennifer,23,1,Student,4,7,Westminster,2
-_-,Andrew,26,2,Technician,5,6,Denver,3
*_*,Jack,18,2,Student,5,7,Westminster,1
+_+,Catherine,29,1,Actor,6,7,Denver,3
:-),Cameron,31,2,Photographer,1,2,Denver,4
;-(,Grace,32,1,Teacher,1,6,Westminster,4
